,City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
272,kondinskoye,59.65,67.41,19.4,90,68,10.31,RU,1582821701
273,mehamn,71.04,27.85,26.6,79,40,13.87,NO,1582821701
274,grindavik,63.84,-22.43,26.6,92,90,24.16,IS,1582821506
275,shingu,33.73,135.98,40.1,65,0,11.7,JP,1582821509
276,kahului,20.89,-156.47,71.6,68,40,14.99,US,1582821702
277,barahona,18.21,-71.1,84.2,70,40,13.87,DO,1582821702
278,chuy,-33.7,-53.46,82.94,30,0,4.25,UY,1582821328
279,buraydah,26.33,43.98,68.0,40,0,4.7,SA,1582821504
280,kieta,-6.22,155.63,80.55,82,12,5.75,PG,1582821702
281,danilovka,50.36,44.12,40.95,74,100,15.66,RU,1582821661
282,mercedes,-34.65,-59.43,84.99,40,0,4.0,AR,1582821702
283,san patricio,19.22,-104.7,80.6,74,20,6.93,MX,1582821478
284,dunedin,-45.87,170.5,55.0,81,66,1.72,NZ,1582821482
285,marzuq,14.4,46.47,65.62,31,1,1.88,YE,1582821702
286,atar,20.52,-13.05,93.2,9,0,16.11,MR,1582821485
287,yerbogachen,61.28,108.01,-1.98,100,79,1.5,RU,1582821702
288,rock springs,41.59,-109.2,26.6,63,1,17.22,US,1582821470
289,trujillo,-8.12,-79.03,71.6,88,40,12.75,PE,1582821702
290,haines junction,60.75,-137.51,8.89,95,99,6.02,CA,1582821501
291,alexandria,31.22,29.96,69.8,46,40,3.36,EG,1582821702
292,kadoma,34.73,135.58,42.01,44,0,14.99,JP,1582821703
293,necochea,-38.55,-58.74,91.99,39,48,8.01,AR,1582821703
294,misasi,-3.0,33.08,77.0,69,20,1.92,TZ,1582821703
295,cintalapa,16.7,-93.73,64.09,70,100,9.82,MX,1582821703
296,nhulunbuy,-12.23,136.77,82.4,83,40,4.7,AU,1582821703
297,ilulissat,69.22,-51.1,-5.8,39,20,10.29,GL,1582821497
298,summerville,33.02,-80.18,54.0,45,1,10.29,US,1582821703
299,tigil,57.8,158.67,6.1,90,80,6.02,RU,1582821505
300,sergeyevka,53.88,67.42,20.05,90,57,11.83,KZ,1582821703
301,hamilton,39.18,-84.53,32.0,63,90,13.87,US,1582821341
302,tazovskiy,67.47,78.7,15.71,86,100,21.81,RU,1582821703
303,salta,-24.79,-65.41,78.8,57,75,4.7,AR,1582821412
304,havre-saint-pierre,50.23,-63.6,12.2,43,1,14.99,CA,1582821703
305,vynohradove,46.37,32.94,48.99,81,62,11.18,UA,1582821703
306,itoman,26.12,127.67,62.6,63,20,9.17,JP,1582821703
307,barguzin,53.62,109.62,8.31,94,100,1.66,RU,1582821703
308,dolzhanskaya,46.63,37.8,50.11,67,100,20.67,RU,1582821704
309,mangai,-4.05,19.53,76.01,89,31,3.36,CD,1582821704
310,manicore,-5.81,-61.3,84.72,87,75,1.28,BR,1582821704
311,mtwara,-10.27,40.18,82.4,83,20,5.82,TZ,1582821704
312,port hardy,50.7,-127.42,42.8,93,90,18.34,CA,1582821704
313,kalianget,-7.05,113.93,81.09,84,100,10.47,ID,1582821704
314,vila franca do campo,37.72,-25.43,62.6,82,75,9.17,PT,1582821505
315,nambucca heads,-30.65,153.0,68.0,94,51,3.22,AU,1582821704
316,talara,-4.58,-81.27,62.6,100,88,12.62,PE,1582821704
317,antofagasta,-23.65,-70.4,72.0,73,20,13.87,CL,1582821704
318,loknya,56.83,30.15,32.29,98,100,7.61,RU,1582821704
319,tubuala,9.52,-79.03,89.01,55,40,3.36,PA,1582821704
320,tateyama,34.98,139.87,41.0,52,0,17.22,JP,1582821508
321,port-cartier,50.03,-66.87,17.01,36,90,11.41,CA,1582821704
322,ganzhou,28.82,115.43,53.49,94,100,1.88,CN,1582821705
323,kismayo,-0.36,42.55,82.0,82,1,14.61,SO,1582821705
324,bela palanka,43.22,22.31,41.0,56,40,10.29,RS,1582821705
325,comodoro rivadavia,-45.87,-67.5,77.0,36,75,13.87,AR,1582821655
326,pisco,-13.7,-76.22,75.99,30,20,10.29,PE,1582821634
327,quepos,9.42,-84.17,84.2,47,91,16.11,CR,1582821705
328,jacareacanga,-6.22,-57.75,87.8,70,20,1.12,BR,1582821483
329,mahanoro,-19.9,48.8,79.83,75,90,14.74,MG,1582821705
330,sinnamary,5.38,-52.95,78.84,70,41,11.59,GF,1582821705
331,kishanganj,26.12,87.93,68.36,49,0,3.29,IN,1582821705
332,cacoal,-11.44,-61.45,82.45,89,100,4.0,BR,1582821676
333,soure,-0.72,-48.52,79.56,82,98,6.85,BR,1582821705
334,half moon bay,37.46,-122.43,62.01,81,75,5.06,US,1582821496
335,dir,35.21,71.88,50.49,54,89,2.19,PK,1582821705
336,petropavlovsk-kamchatskiy,53.05,158.65,23.0,73,100,6.71,RU,1582821705
337,namtsy,62.72,129.67,6.8,84,40,2.24,RU,1582821705
338,barmer,25.75,71.38,79.14,21,99,9.69,IN,1582821706
339,akdepe,42.06,59.38,39.2,51,0,9.17,TM,1582821706
340,zhangjiakou,40.81,114.88,25.7,85,83,3.71,CN,1582821706
341,along,28.17,94.77,51.37,92,11,3.69,IN,1582821706
342,luau,-10.71,22.22,69.24,93,99,6.2,AO,1582821706
343,sandwick,60.0,-1.25,41.0,67,40,14.99,GB,1582821706
344,wanxian,30.8,108.39,52.74,98,99,3.62,CN,1582821493
345,luderitz,-26.65,15.16,82.4,39,0,21.92,NA,1582821498
346,umm bab,25.21,50.81,66.2,59,1,12.75,QA,1582821706
347,rabat,33.99,-6.84,64.4,68,0,13.87,MA,1582821694
348,igarka,67.47,86.58,7.09,82,82,19.82,RU,1582821706
349,santana do livramento,-30.89,-55.53,86.0,25,0,2.89,BR,1582821706
350,vaitape,-16.52,-151.75,82.54,67,100,4.03,PF,1582821706
351,aras,42.56,-2.36,55.4,62,75,11.41,ES,1582821706
352,severnoye,56.35,78.36,18.88,96,91,5.21,RU,1582821706
353,zigong,29.34,104.78,55.81,89,93,3.31,CN,1582821706
354,rong kwang,18.34,100.32,70.88,47,100,2.21,TH,1582821707
355,dhidhdhoo,6.88,73.1,82.8,70,88,6.15,MV,1582821707
356,hailar,49.2,119.7,17.04,95,100,9.15,CN,1582821707
357,san-pedro,4.75,-6.64,83.97,76,2,7.76,CI,1582821707
358,isangel,-19.55,169.27,78.8,88,75,9.17,VU,1582821483
359,labuhan,-6.88,112.21,76.66,92,100,3.29,ID,1582821480
360,nkhotakota,-12.93,34.3,80.67,72,72,10.31,MW,1582821707
361,turinsk,58.05,63.7,21.72,94,85,6.8,RU,1582821707
362,denham springs,30.49,-90.96,50.0,52,1,5.82,US,1582821707
363,banamba,13.55,-7.45,92.7,9,0,4.68,ML,1582821707
364,nardaran,40.56,50.01,48.2,87,0,25.28,AZ,1582821707
365,baghdad,33.34,44.4,64.4,63,0,8.05,IQ,1582821592
366,kamenka,51.32,42.77,46.99,88,100,7.0,RU,1582821670
367,shieli,44.17,66.75,36.18,55,32,7.96,KZ,1582821707
368,oktyabrskoye,43.06,44.74,51.8,53,100,4.47,RU,1582821707
369,el tigre,8.89,-64.25,93.18,29,99,10.25,VE,1582821707
370,qui nhon,13.77,109.23,66.38,93,56,3.04,VN,1582821524
371,la tuque,47.43,-72.78,29.98,97,100,13.67,CA,1582821707
372,nouadhibou,20.93,-17.03,84.2,39,0,10.29,MR,1582821708
373,kiskunfelegyhaza,46.71,19.84,44.6,48,5,9.17,HU,1582821708
374,imbituba,-28.24,-48.67,80.6,47,40,11.41,BR,1582821708
375,alice springs,-23.7,133.88,82.4,28,100,8.05,AU,1582821491
376,visnes,59.36,5.22,37.99,80,75,12.75,NO,1582821708
377,mount gambier,-37.83,140.77,55.4,93,90,5.82,AU,1582821495
378,abong mbang,3.98,13.18,85.53,38,72,2.26,CM,1582821708
379,guerrero negro,27.98,-114.06,70.09,12,12,1.48,MX,1582821501
380,khyriv,49.53,22.85,36.0,70,48,6.82,UA,1582821708
381,oussouye,12.48,-16.55,105.8,49,0,6.93,SN,1582821708
382,andilamena,-17.02,48.58,66.51,96,100,2.8,MG,1582821708
383,hualmay,-11.1,-77.61,77.72,67,75,10.07,PE,1582821510
384,barma,8.35,-11.33,92.82,34,24,3.27,SL,1582821708
385,marsh harbour,26.54,-77.06,69.46,78,59,23.51,BS,1582821708
386,istok,42.78,20.49,37.4,64,75,8.05,XK,1582821708
387,katy,29.79,-95.82,53.01,45,1,5.06,US,1582821708
388,north platte,41.12,-100.77,37.99,74,90,10.29,US,1582821708
389,karachi,24.91,67.08,77.0,41,20,9.17,PK,1582821677
390,traipu,-9.97,-37.0,98.85,30,38,8.97,BR,1582821709
391,maarianhamina,60.1,19.93,30.2,42,7,5.82,AX,1582821709
392,harper,4.38,-7.72,84.09,76,16,3.49,LR,1582821709
393,ambanja,-13.68,48.45,81.34,80,100,1.95,MG,1582821709
394,dalvik,65.97,-18.53,23.0,62,90,23.04,IS,1582821709
395,iquitos,-3.75,-73.25,42.8,100,90,6.93,PE,1582821709
396,shenavan,40.05,43.93,39.2,41,60,2.24,AM,1582821709
397,montepuez,-13.13,39.0,72.21,95,100,2.08,MZ,1582821709
398,mpanda,-6.37,31.04,68.52,96,100,1.39,TZ,1582821709
399,leningradskiy,69.38,178.42,0.81,67,100,4.21,RU,1582821480
400,saint george,37.1,-113.58,46.99,64,1,0.87,US,1582821229
401,lufilufi,-13.87,-171.6,81.0,80,66,8.46,WS,1582821479
402,villa carlos paz,-31.42,-64.5,84.99,54,20,8.05,AR,1582821710
403,wang saphung,17.3,101.77,72.5,42,99,2.57,TH,1582821710
404,la ronge,55.1,-105.28,5.0,84,5,2.24,CA,1582821710
405,chontalpa,17.7,-93.52,63.5,96,100,5.12,MX,1582821710
406,arys,42.43,68.8,33.8,80,90,2.24,KZ,1582821710
407,outjo,-20.12,16.15,78.8,61,85,2.24,NA,1582821710
408,komsomolskiy,40.43,71.72,39.2,93,75,9.17,UZ,1582821496
409,bambanglipuro,-7.95,110.28,76.33,87,100,2.24,ID,1582821710
410,camabatela,-8.19,15.38,67.75,96,74,5.12,AO,1582821710
411,boa vista,2.82,-60.67,91.4,38,20,13.87,BR,1582821506
412,udachnyy,66.42,112.4,-0.4,77,0,4.47,RU,1582821710
413,ferme-neuve,46.7,-75.45,32.27,98,100,13.58,CA,1582821710
414,ponta delgada,37.73,-25.67,62.6,82,75,9.17,PT,1582821479
415,pokaran,26.92,71.92,81.03,18,92,12.08,IN,1582821710
416,misratah,32.38,15.09,60.17,69,17,10.29,LY,1582821710
417,sioux lookout,50.1,-91.92,3.2,77,20,3.36,CA,1582821480
418,tessalit,20.2,1.01,78.37,6,0,9.01,ML,1582821484
419,preobrazheniye,42.9,133.91,19.13,77,0,5.93,RU,1582821711
420,gat,31.61,34.76,64.4,59,47,6.93,IL,1582821492
421,haimen,23.19,116.61,62.6,82,75,6.71,CN,1582821711
422,sao filipe,14.9,-24.5,77.18,61,45,7.02,CV,1582821473
423,romny,50.75,33.47,40.14,88,100,8.39,UA,1582821711
424,jiangyou,31.77,104.72,46.2,86,83,0.51,CN,1582821711
425,deep river,46.1,-77.5,23.0,85,90,13.87,CA,1582821698
426,abu kamal,34.45,40.92,59.92,47,59,3.02,SY,1582821711
427,bilibino,68.05,166.44,-9.74,98,100,1.5,RU,1582821711
428,norman wells,65.28,-126.83,-9.4,69,90,17.22,CA,1582821438
429,saint-georges,12.06,-61.75,79.14,76,10,13.56,GD,1582821711
430,kaseda,31.42,130.32,46.98,78,62,4.12,JP,1582821711
431,diffa,13.32,12.61,81.07,12,0,10.09,NE,1582821711
432,polunochnoye,60.87,60.42,14.04,90,12,3.85,RU,1582821712
433,na wa,17.49,104.1,77.0,60,100,10.25,TH,1582821712
434,dan khun thot,15.21,101.77,77.04,47,100,1.97,TH,1582821712
435,marquette,46.53,-87.63,19.0,78,90,19.46,US,1582821501
436,kochubey,44.39,46.58,44.92,68,100,8.14,RU,1582821712
437,madera,37.17,-119.83,61.0,81,1,3.36,US,1582821712
438,lukovetskiy,64.3,41.92,23.0,79,20,4.47,RU,1582821712
439,balsas,-7.53,-46.04,87.85,60,47,3.85,BR,1582821712
440,champerico,14.3,-91.92,84.2,70,75,14.14,GT,1582821712
441,barsi,18.23,75.7,74.97,18,0,9.75,IN,1582821713
442,verkhnevilyuysk,63.45,120.32,-7.11,100,59,0.36,RU,1582821713
443,amapa,1.0,-52.0,89.55,42,13,4.29,BR,1582821713
444,kirksville,40.19,-92.58,36.0,55,1,5.82,US,1582821573
445,sunrise manor,36.21,-115.07,54.0,31,1,5.82,US,1582821713
446,pleasanton,37.66,-121.87,62.01,62,1,8.05,US,1582821543
447,neryungri,56.67,124.65,-5.28,100,99,1.3,RU,1582821713
448,shiyan,32.65,110.78,37.72,94,100,0.98,CN,1582821509
449,chicama,-7.84,-79.15,71.6,88,40,12.75,PE,1582821508
450,leh,34.17,77.58,6.13,65,34,4.74,IN,1582821632
451,baillif,16.02,-61.75,80.6,65,75,4.7,GP,1582821713
452,kaoma,-14.78,24.8,68.81,92,50,4.05,ZM,1582821713
453,almaznyy,48.04,40.05,55.4,66,93,15.66,RU,1582821713
454,ano mera,37.45,25.4,61.0,63,20,23.04,GR,1582821713
455,mount isa,-20.73,139.5,77.0,94,99,4.7,AU,1582821483
456,turukhansk,65.82,87.98,9.82,73,60,13.76,RU,1582821481
457,kangaatsiaq,68.31,-53.46,-6.16,95,90,9.26,GL,1582821714
458,edd,13.93,41.69,74.88,78,0,6.31,ER,1582821714
459,fortuna,40.6,-124.16,44.6,100,40,0.63,US,1582821486
460,karjat,18.92,73.33,84.2,28,0,4.7,IN,1582821714
461,portland,45.52,-122.68,44.01,86,90,3.36,US,1582821318
462,yeniseysk,58.45,92.17,12.27,91,91,8.99,RU,1582821714
463,sao geraldo do araguaia,-6.4,-48.55,81.91,83,98,4.07,BR,1582821714
464,formosa,-26.18,-58.18,86.0,33,0,5.82,AR,1582821660
465,vodstroy,48.84,44.56,51.8,57,100,15.66,RU,1582821714
466,rocha,-34.48,-54.33,84.96,21,0,12.68,UY,1582821491
467,midland,32.0,-102.08,48.99,26,1,10.29,US,1582821660
468,sinop,41.77,34.87,57.47,53,100,4.88,TR,1582821714
469,bembibre,42.62,-6.42,59.0,38,2,19.46,ES,1582821714
470,tahoua,14.89,5.27,93.2,7,0,4.7,NE,1582821714
471,rio grande,-32.03,-52.1,82.4,28,0,12.75,BR,1582821567
472,smithers,54.78,-127.17,35.6,74,90,10.29,CA,1582821714
473,ossora,59.24,163.07,1.27,78,73,10.87,RU,1582821714
474,los llanos de aridane,28.66,-17.92,68.0,64,75,11.41,ES,1582821488
475,salmo,49.2,-117.27,30.0,87,67,1.23,CA,1582821715
476,vardo,70.37,31.11,19.4,67,84,28.86,NO,1582821497
477,marevo,57.31,32.08,32.22,98,100,7.18,RU,1582821715
478,pangnirtung,66.15,-65.71,-29.2,60,20,3.36,CA,1582821492
479,dzhebariki-khaya,62.22,135.8,-16.71,96,0,1.54,RU,1582821715
480,methoni,36.82,21.7,57.0,43,20,9.17,GR,1582821715
481,hegang,47.4,130.37,11.91,86,0,3.62,CN,1582821544
482,yar-sale,66.83,70.83,15.78,95,100,6.96,RU,1582821482
483,santa rosa,14.31,121.11,78.8,65,40,5.82,PH,1582821715
484,gwadar,25.12,62.33,73.76,88,34,9.46,PK,1582821715
485,mahibadhoo,3.78,72.97,82.09,76,96,16.02,MV,1582821715
486,longyan,25.11,117.02,53.53,94,92,2.91,CN,1582821715
487,hashtrud,37.48,47.05,25.38,69,0,0.63,IR,1582821715
488,hay river,60.82,-115.8,5.0,92,40,2.24,CA,1582821474
489,mubi,10.27,13.26,79.75,18,58,5.86,NG,1582821715
490,ayr,55.46,-4.63,42.8,80,40,19.46,GB,1582821715
491,hami,42.8,93.45,38.53,42,96,1.52,CN,1582821507
492,sao joao da barra,-21.64,-41.05,82.4,69,75,20.8,BR,1582821499
493,kamakhyanagar,20.93,85.55,66.43,48,0,2.62,IN,1582821716
494,eseka,3.65,10.77,73.87,89,100,2.93,CM,1582821716
495,tangua,-22.73,-42.71,80.6,83,90,13.87,BR,1582821716
496,ornskoldsvik,63.29,18.72,26.6,68,50,3.36,SE,1582821716
497,ribas do rio pardo,-20.44,-53.76,80.94,61,7,8.37,BR,1582821716
498,nuuk,64.18,-51.72,10.4,60,20,13.87,GL,1582821506
499,jiblah,13.92,44.15,67.08,75,58,1.54,YE,1582821716
500,tumarbong,10.38,119.46,75.87,87,37,6.17,PH,1582821716
501,mamlyutka,54.94,68.54,19.89,89,58,12.19,KZ,1582821716
502,teya,60.38,92.63,3.88,94,11,4.83,RU,1582821486
503,buchanan,5.88,-10.05,93.2,59,40,13.87,LR,1582821503
504,kant,27.8,79.8,62.22,66,33,5.73,IN,1582821716
505,el guayabito,14.83,-86.03,81.5,43,2,7.61,HN,1582821716
506,liverpool,53.41,-2.98,44.6,65,20,12.75,GB,1582821496
507,mazatlan,23.22,-106.42,75.99,83,5,5.57,MX,1582821517
508,saint-francois,46.42,3.91,51.8,57,93,27.51,FR,1582821717
509,izazi,-7.2,35.73,70.36,91,100,4.56,TZ,1582821718
510,portobelo,9.55,-79.65,89.01,55,40,3.36,PA,1582821718
511,tabou,4.42,-7.35,84.09,76,16,3.49,CI,1582821488
512,hofn,64.25,-15.21,31.64,78,100,30.33,IS,1582821718
513,nabire,-3.37,135.48,72.91,98,100,1.9,ID,1582821485
514,ilheus,-14.79,-39.05,87.8,70,20,10.29,BR,1582821718
515,aksehir,38.36,31.42,46.58,73,97,8.01,TR,1582821718
516,chavakkad,10.53,76.05,82.4,78,24,2.01,IN,1582821718
517,hervey bay,-25.3,152.85,71.6,94,3,5.82,AU,1582821718
518,aswan,24.09,32.91,68.88,23,0,10.11,EG,1582821718
519,dukuhturi,-6.9,109.08,76.69,95,100,2.39,ID,1582821718
520,labytnangi,66.66,66.42,11.21,84,50,9.17,RU,1582821718
521,tual,-5.67,132.75,83.37,78,94,9.78,ID,1582821718
522,dunmore town,25.5,-76.65,73.0,77,64,17.83,BS,1582821718
523,arona,28.1,-16.68,69.8,67,20,12.75,ES,1582821718
524,ciego de avila,21.84,-78.76,83.73,51,8,15.35,CU,1582821718
525,launceston,-41.45,147.17,54.0,54,75,13.87,AU,1582821718
526,pipri,19.8,75.53,64.92,27,0,4.72,IN,1582821718
527,martapura,-3.42,114.85,80.6,88,40,5.82,ID,1582821485
528,manzanillo,20.34,-77.12,85.91,56,34,13.02,CU,1582821719
529,tondano,1.3,124.91,73.4,100,20,1.12,ID,1582821719
530,kalemie,-5.95,29.19,67.12,94,70,2.13,CD,1582821719
531,gari,59.43,62.35,15.67,92,14,6.11,RU,1582821719
532,severo-kurilsk,50.68,156.12,21.15,93,100,4.09,RU,1582821487
533,vierzon,47.21,2.06,50.0,57,75,16.11,FR,1582821719
534,rawson,-43.3,-65.1,64.81,71,17,12.64,AR,1582821507
535,tiznit,29.58,-9.5,71.74,27,0,5.32,MA,1582821719
536,cucuteni,47.28,26.93,39.2,71,75,9.17,RO,1582821719
537,banikoara,11.3,2.44,88.03,12,0,1.19,BJ,1582821719
538,maamba,-17.37,27.15,69.01,90,80,1.57,ZM,1582821719
539,kansanshi,-12.1,26.43,65.37,93,99,2.86,ZM,1582821719
540,pitimbu,-7.47,-34.81,89.6,62,75,13.87,BR,1582821543
541,tavira,37.13,-7.65,72.0,63,0,9.17,PT,1582821719
542,kemijarvi,66.71,27.43,14.13,93,13,7.25,FI,1582821719
543,muros,42.78,-9.06,61.0,82,40,10.29,ES,1582821484
